Солтүстік Қазақстан облысы Аққайың ауданы мәслихаты ШЕШТІ:

1. "Солтүстік Қазақстан облысы Аққайың ауданы Смирново ауылдық округі Смирново ауылының бөлек жергілікті қоғамдастық жиындарын өткізудің қағидасын және жергілікті қоғамдастық жиындарына қатысатын көше тұрғындары мен көппәтерлі тұрғын үй тұрғындары өкілдерінің сандық құрамын бекіту туралы" Солтүстік Қазақстан облысы Аққайың ауданы мәслихатының 2014 жылғы 30 қаңтардағы № 20-12 шешіміне (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 2591 тіркелген) мынадай өзгеріс енгізілсін:

көрсетілген шешімнің қосымшасы осы шешімнің қосымшасына сәйкес жаңа редакцияда жазылсын.

2. Осы шешім алғашқы ресми жарияланған күнінен бастап қолданысқа енгізіледі.


Солтүстік Қазақстан облысы Аққайың ауданымәслихатының хатшысы	|	Е. Жәкенов



	|	Солтүстік Қазақстан облысы
	|	Аққайың ауданы мәслихатының
	|	2021 жылғы 19 шілдедегі
	|	№ 4-19 шешіміне
	|	қосымша
	|	Солтүстік Қазақстан облысы
	|	Аққайың ауданы мәслихатының
	|	2014 жылғы 30 қаңтардағы
	|	№ 20-12 шешіміне
	|	қосымша

Солтүстік Қазақстан облысы Аққайың ауданы Смирново ауылдық округі Смирново ауылының жергілікті қоғамдастық жиындарына қатысатын көше тұрғындары мен көппәтерлі тұрғын үй тұрғындары өкілдерінің сандық құрамы

№р/с	|	Көшелердің атаулары мен көппәтерлі тұрғын үйлердің мекенжайы	|	Солтүстік Қазақстан облысы Аққайың ауданы Смирново ауылдық округіСмирново ауылының көше тұрғындары мен көппәтерлі тұрғын үй тұрғындары өкілдерінің саны (адам)
1	|	Абай	|	6
2	|	Абай 68	|	1
3	|	Амангелді	|	6
4	|	Амангелді 71	|	1
5	|	Гагарин	|	6
6	|	Горький	|	3
7	|	Дорожный	|	5
8	|	Карбышев	|	1
9	|	Алексей Щербаков	|	6
10	|	Линейный	|	4
11	|	Лермонтов	|	3
12	|	Мир	|	6
13	|	Молодежная	|	6
14	|	Джамбул	|	6
15	|	9 Мамыр	|	4
16	|	25 лет Целины	|	7
17	|	Жұмабаев	|	7
18	|	Жұмабаев 111	|	1
19	|	Зеленый	|	5
20	|	Заводской	|	2
21	|	Имаков	|	4
22	|	Мәншүк Мәметова	|	2
23	|	Народный	|	3
24	|	Октябрьский	|	7
25	|	Олег Кошевой	|	2
26	|	Клочков	|	2
27	|	Кардон	|	2
28	|	Абылай хан	|	1
29	|	Партизанский	|	2
30	|	Партизанский 16	|	1
31	|	Пушкин	|	6
32	|	Папанин	|	6
33	|	Әлия Молдағулова	|	2
34	|	Панфилов	|	3
35	|	П. Филипенко	|	2
36	|	Первомайский	|	2
37	|	Рабочий	|	2
38	|	Северный	|	8
39	|	Суворов	|	7
40	|	Суворов 67 а	|	1
41	|	Сырғабеков	|	2
42	|	Сейфуллин	|	2
43	|	Сәбит Мұқанов	|	2
44	|	Надежда Крупская	|	2
45	|	Қайсар Таштитов	|	1
46	|	Савицкая	|	1
47	|	Труд	|	8
48	|	Титов	|	6
49	|	Титов 11	|	1
50	|	Титов 13	|	1
51	|	Титов 15	|	1
52	|	Титов 15а	|	1
53	|	Титов 17	|	1
54	|	Ташитова	|	1
55	|	Школьная	|	3
56	|	Элеваторная	|	2
57	|	Южный	|	2
58	|	Терешкова	|	1
59	|	Чкалов	|	1
60	|	Ғабит Мұсрепов	|	1
61	|	Учхоз	|	1
62	|	Островский	|	1
63	|	Гастелло	|	1
64	|	Жаңа тұрмыс	|	1
65	|	Шаховский	|	1
66	|	Қауданды	|	1
67	|	Бозарал	|	1
68	|	Жаңажол	|	1
69	|	Больничный городок тұйық көше 1	|	1
70	|	Больничный городок тұйық көше 2	|	1
71	|	Больничный городок тұйық көше 3	|	1



